"","site_location_name","Grass","Shrub","Tree","vegetation_type"
"114","NTAFIN0003",7.93333333333333,3.43333333333333,13.3666666666667,"Tree"
"115","NTAFIN0004",8.76666666666667,33.5333333333333,6.1,"Shrub"
"116","NTAFIN0005",11.2333333333333,10.6666666666667,2.66666666666667,"Grass"
"117","NTAFIN0006",11.9,1.63333333333333,0.166666666666667,"Grass"
"118","NTAFIN0007",10.5,3.73333333333333,0.1,"Grass"
"119","NTAFIN0008",28.7333333333333,2.66666666666667,0,"Grass"
"120","NTAFIN0009",9.36666666666667,14.0333333333333,2.73333333333333,"Shrub"
"121","NTAFIN0010",17.0333333333333,5.43333333333333,0.1,"Grass"
"122","NTAFIN0011",22.9666666666667,16.7,1.23333333333333,"Grass"
"123","NTAFIN0012",39.4,6.2,0,"Grass"
"124","NTAFIN0013",5,8.1,23.9,"Tree"
"125","NTAFIN0014",34.6,2.1,6.7,"Grass"
"126","NTAFIN0015",5.8,2.5,31.1,"Tree"
"127","NTAFIN0016",25.6,4,0,"Grass"
"128","NTAFIN0017",20.5,0,12.2,"Grass"
"129","NTAFIN0018",8.6,23.3,0.1,"Shrub"
"130","NTAFIN0019",36.4,3.2,11.2,"Grass"
"131","NTAFIN0020",41.9,0.2,7.4,"Grass"
"132","NTAFIN0021",7.8,4.4,0,"Grass"
"133","NTAFIN0022",8.5,16.7,0,"Shrub"
"134","NTAFIN0023",24.4,5.4,10.1,"Grass"
"135","NTAFIN0024",1,10.5,12.9,"Tree"
"136","NTAFIN0025",19.6,14,0,"Grass"
"137","NTAFIN0026",23.7,20.1,0.2,"Grass"
"138","NTAFIN0027",42.1,0.7,0,"Grass"
"139","NTAFIN0028",7.2,7.5,0,"Shrub"
"140","NTAFIN0029",20.8,2.3,0,"Grass"
"141","NTAFIN0030",5.9,41.6,0,"Shrub"
"142","NTAFIN0031",4.3,13.4,0,"Shrub"
"143","NTAFIN0032",21.3,23,0,"Shrub"
"144","NTAFIN0033",22.4,13.2,2.7,"Grass"
"145","NTAGFU0001",36.4,8.8,6.6,"Grass"
"146","NTAGFU0002",36.2,1.8,9.4,"Grass"
"147","NTAGFU0003",21.8,0.3,24.3,"Tree"
"148","NTAGFU0004",26.3,2.7,0.4,"Grass"
"149","NTAGFU0005",29,14.5,14,"Grass"
"150","NTAGFU0006",64.9,2.5,6.3,"Grass"
"151","NTAGFU0007",39.8,4.4,0,"Grass"
"152","NTAGFU0008",34.7,0.1,1.9,"Grass"
"153","NTAGFU0009",26.9,7.7,12.9,"Grass"
"154","NTAGFU0010",34,0,18.7,"Grass"
"155","NTAGFU0011",39.7,13.3,8.6,"Grass"
"156","NTAGFU0012",29.3,1.5,17.9,"Grass"
"157","NTAGFU0013",35.8,25.2,2.2,"Grass"
"158","NTAGFU0014",20,1.5,13.2,"Grass"
